YEAR,MONTH,DAY,GRID_NO,PRECIPITATION,ET0,TEMPERATURE_AVG,WINDSPEED,RADIATION
1975,4,24,97100,0,2.94,13.2,2.9,14510
1975,4,25,97100,0,3.35,9.8,2.9,20160
1975,4,26,97100,0,1.29,7,2,8312
1975,4,27,97100,0,3.35,11.2,2,23024
1975,4,28,97100,0,4.28,13.1,2.5,23891
1975,4,29,97100,3,5.27,15.8,4.3,23478
1975,4,30,97100,0,3.37,12,3.6,13803
1975,5,1,97100,0,3.06,9.2,1,23283
1975,5,2,97100,2.1,3.53,11.3,2.5,22211
1975,5,3,97100,1.4,2.77,8.1,4.3,14650
1975,5,4,97100,1.9,2.6,7.3,4.9,16015
1975,5,5,97100,0.8,3.33,10,9.1,17255
1975,5,6,97100,9.1,2.2,11.9,5.7,7923
1975,5,7,97100,2,3.32,13.5,3.6,16998
1975,5,8,97100,3.7,2.8,12.8,1,17063
1975,5,9,97100,2,2.63,11.7,2.5,17653
1975,5,10,97100,2.5,2.27,11.6,4.3,12580
1975,5,11,97100,0,2.94,13.1,1.4,17514
1975,5,12,97100,0,3.12,9.4,1.4,21935
1975,5,13,97100,0,3.98,10.6,2,25841
1975,5,14,97100,0,2.48,12.2,2,12249
1975,5,15,97100,0,2.86,12.7,1,17211
1975,5,16,97100,0,2.94,15.2,1,17264
1975,5,17,97100,2.7,3.3,16,1.4,17715
1975,5,18,97100,0.2,2.68,15.9,1.4,14295
1975,5,19,97100,0,3.7,14.9,4.9,18082
1975,5,20,97100,0,4.78,14,4.3,26293
1975,5,21,97100,0,5.06,15,3.6,27958
1975,5,22,97100,0,4.12,9.3,3.6,26136
1975,5,23,97100,0,3.35,8.2,2.5,22830
1975,5,24,97100,0,3.37,8.2,3.6,22473
1975,5,25,97100,0,2.75,10.9,4.9,8520
1975,5,26,97100,0,4.33,15.6,5.7,14611
1975,5,27,97100,0,2.19,13,3.6,8712
1975,5,28,97100,0,4.16,16.3,2,22100
1975,5,29,97100,14.6,3.86,17.6,1,21057
1975,5,30,97100,1.3,1.91,10.1,2.5,8790
1975,5,31,97100,0,3.47,9.7,2.5,20042
1975,6,1,97100,0,3.58,8.7,2.5,24674
1975,6,2,97100,2.8,2.83,8.5,4.9,14954
1975,6,3,97100,2.2,3.19,9,4.9,18637
1975,6,4,97100,0.4,2.91,10,2,18527
1975,6,5,97100,0,3.8,11.9,1,25740
1975,6,6,97100,0,5.15,14.1,2.9,29158
1975,6,7,97100,0,5.87,16.1,3.6,28911
